4000 30000
392 3098 832036
3144 3432 937924
3078 3859 487235
829 1286 552034
1743 3290 618637
3861 3868 780074
2566 2726 889416
31 3454 866030
2448 2721 423649
222 3117 672996
3860 3957 108093
3291 3994 951237
2270 2720 43447
1505 3900 885084
1892 3189 902826
881 3402 10693
955 1967 17771
1998 2723 437576
754 797 144648
755 1370 423764
1326 1751 919624
1319 1844 295266
1433 3940 917986
1232 1445 749885
2668 3688 521074
568 1846 812827
892 1522 798793
245 2663 741142
591 1350 317938
1240 2104 435307
1004 3854 224985
628 2049 2655
247 3834 222595
1065 2233 888391
85 118 552078
1544 1930 348645
2371 2821 574518
1517 1835 119114
2426 3011 848463
17 1302 218918
609 1020 870771
1946 2000 461172
602 2246 425005
830 3549 838421
1299 3940 102857
370 2843 604787
1367 1565 903959
3433 3885 501794
2444 3352 868571
3745 3815 632587
705 2734 733958
1857 3003 575957
3381 3956 486554
738 3504 867383
3512 3795 984682
164 2369 875876
1530 3508 353792
1766 3468 217225
1117 1614 240020
1284 2185 740116
369 3124 669172
1082 2225 252174
1392 1958 8129
3047 3946 159632
2558 3330 111426
364 1279 931941
240 786 969822
605 2032 799588
2570 3609 56704
1106 3981 622339
97 229 682707
1270 1311 141284
1444 2702 459241
1926 2999 94287
1558 2328 401197
1337 3043 966475
1630 3282 427612
1666 3453 688569
1626 3041 251138
97 1607 500244
2055 2437 584824
1496 3676 206134
1472 2780 489187
2021 3397 404186
661 1306 334865
1858 2994 265908
624 685 589541
76 649 659558
1570 3468 209536
1061 3916 479494
1305 2704 209548
200 2481 101576
968 2979 375047
1352 2155 554443
2364 2693 832100
221 1911 803094
1257 3819 915717
1712 2257 656144
1623 3827 823963
887 3159 992230
2543 2653 783286
553 1023 879837
1990 2129 423167
497 1528 872518
323 3189 354881
424 1099 271453
1269 3518 105061
3333 3587 283318
83 955 11144
398 465 56030
980 3469 434572
266 373 247946
455 2854 185936
381 3623 770432
493 704 921972
1479 3375 975423
996 3180 713043
242 934 240727
1368 3560 218033
2117 3056 854497
3086 3096 662317
2010 3714 334690
168 1956 5895
142 244 18275
635 3028 475330
361 1001 692808
776 3540 990155
133 2171 799440
44 2899 293159
932 3099 295275
2536 3782 314371
545 2099 166436
1141 2853 214955
3096 3388 883097
1664 2124 76083
1346 3476 632443
251 2155 856334
662 2421 336467
103 1319 872510
1262 2603 991961
890 2384 234496
834 3613 551041
2049 2327 222245
1356 1714 401340
453 3377 891463
888 1075 647290
1331 3581 611540
242 1666 46313
696 2485 675983
2310 2995 234937
2956 3551 61320
1805 3163 366506
1198 1563 968832
2918 3443 390545
783 3723 166274
599 610 771348
1941 3889 414928
3782 3958 603521
2442 2447 136569
1788 2782 307230
1096 1720 410780
2900 3392 277942
97 1898 591504
2730 3539 82773
673 1276 118495
1271 3550 807457
1512 3250 265749
1645 2530 349706
91 2403 912147
2972 3224 858286
943 2202 147381
335 1334 530280
2232 3276 74376
1314 3132 518266
1906 2589 746939
753 2490 168209
210 2091 462072
620 1959 723716
17 3022 32158
516 1994 63382
547 2803 52324
2184 2233 93010
817 1508 35594
992 3193 848907
1812 3249 439847
353 751 458336
915 1312 708426
2873 3385 121397
3242 3453 784418
3612 3757 866763
2559 2994 675662
743 3670 621894
681 1559 499753
627 1103 900744
1534 3266 940344
16 1381 220697
69 1328 65611
847 1064 740835
516 2244 112428
127 2662 576185
1778 3472 506743
1440 3494 567837
526 3334 289747
1152 3087 263202
184 2685 6467
417 528 782835
837 1577 760514
1683 3540 401577
728 3926 462444
1156 2939 458923
716 1341 970746
437 2155 50239
274 1488 306764
927 2374 775915
1110 1928 822951
395 1637 887719
3214 3582 428555
96 3105 186589
2025 3832 766866
470 988 953805
2328 3393 646872
2491 3116 5379
731 3742 651218
2115 3495 84144
42 3763 721253
788 2714 502890
370 2786 682455
817 3341 325559
1931 2842 205743
1149 3311 402730
2954 3055 525409
1545 2179 80525
2627 3558 152266
2122 2776 30380
2236 2921 10773
174 1301 99912
86 3416 80633
2223 3779 713450
135 2061 916291
1878 3209 667953
960 2515 427359
693 2369 648903
250 2894 931882
3025 3512 34003
2244 2297 796590
1017 2823 9890
1282 2590 77976
1165 1915 462106
1299 3717 316166
8 3528 923374
313 487 753888
3207 3672 970932
928 2453 547181
810 1964 166558
208 3165 913206
1576 3755 992028
1645 2857 938618
1124 3973 951782
840 2079 873432
1200 2245 909311
1512 1972 462149
212 1184 57355
2463 3145 291807
2326 3272 317771
1236 2788 198330
2443 2542 427905
186 2471 622762
511 1441 379885
1575 2589 412724
834 3007 670275
670 3157 787787
2819 3368 225322
175 2512 631784
334 838 455407
2425 2457 730194
787 867 252735
693 3690 549272
1130 3807 214134
44 2705 676723
1120 2063 285908
2733 3396 965064
1551 3183 984431
857 2077 314943
641 2763 20132
400 1571 266556
2358 2594 483775
3402 3681 147464
1305 3560 712593
3440 3603 163649
515 722 374064
117 2423 736796
3487 3651 746698
270 507 461127
1499 3565 688241
49 1898 745811
843 2606 832168
523 2733 407921
2180 2197 95832
1971 3142 759434
2485 3144 360508
907 1208 52976
745 2356 140979
1366 1406 333485
931 2533 811336
979 2774 997233
586 3936 654076
1106 2668 550950
1216 1380 237129
358 1212 959451
999 3853 361935
1060 1507 246841
2835 3415 611937
820 3814 925303
1652 3705 534585
988 2830 459915
2573 3767 967851
649 873 574870
2604 3952 912086
167 1433 208443
885 1165 660295
2820 3023 641706
2014 2210 889472
2023 2303 666643
3674 3958 434347
1013 2543 913529
2459 3586 817295
586 2662 10519
537 1532 901122
1618 1970 101289
2413 3206 886805
2025 3060 101828
390 766 348389
2590 2693 218411
1234 3002 594437
1545 3933 771449
355 1462 263034
2758 3016 239620
899 1277 768508
2517 2752 86829
41 929 154034
341 3198 848411
1378 1458 933152
48 1767 20196
179 1281 551198
1213 2968 577094
2417 3027 41448
1784 1804 944815
1776 3412 345713
2163 2636 672581
1466 2555 617510
1753 3852 906202
263 3130 147659
897 1416 747706
1427 1612 372986
394 1162 490551
2256 3162 497577
1317 3704 727712
871 3092 675123
2080 2585 273638
3166 3545 108192
1028 3396 581944
11 3230 829426
1778 2890 682674
2948 3741 360100
287 903 488845
3158 3190 324006
767 2862 677675
84 831 756766
306 2668 878845
1944 2186 130741
2137 3565 666489
433 3147 334499
1859 2388 584276
885 1335 436016
985 1621 957270
810 2182 692428
1928 2541 715641
216 3110 971724
1334 3416 322744
532 1359 924929
3273 3495 944845
280 1762 255991
613 2490 522378
1241 3375 491713
711 1610 569685
2880 2893 730495
1433 3308 20774
1648 2949 651884
2674 2981 815299
1418 3512 301009
2699 3137 700856
898 3544 113135
1863 3536 883624
1914 3103 694998
712 1979 940061
3592 3665 74953
2512 2899 456385
2200 3286 278384
873 3522 297716
2642 2821 909580
1692 3831 244716
687 1235 485965
1122 2174 967827
2150 3388 307282
1366 1501 423993
1382 1562 791584
515 3893 618835
1252 3531 105034
3052 3988 738258
1704 2225 324899
2407 3284 822590
352 3445 176176
1618 2318 125298
2497 3767 708685
1267 1779 934402
1773 2828 855784
1709 3694 719676
544 945 63206
1284 1930 54610
188 2988 992834
1439 2623 695240
29 2975 862684
558 1292 124653
1856 3788 848419
1567 2893 278038
1647 3691 320865
1399 1431 84559
1460 2295 541855
576 1018 971139
764 3628 186478
814 2202 581100
406 2583 916074
3090 3492 193717
95 1699 381857
515 591 271423
2553 2589 835465
372 3770 349215
681 1831 431509
2537 3200 220085
2028 3180 453200
345 506 455753
751 1958 566687
192 2385 962178
102 287 283876
801 1959 756818
1734 3705 831759
1551 3826 848130
507 2767 558312
2628 3395 25511
1774 3065 337042
265 2631 969387
371 588 134137
2972 3410 210328
1589 3426 838966
1736 1817 352118
2988 3822 27822
1372 2747 219648
138 3229 528506
1541 2766 979900
1830 3404 577673
447 2447 508303
2186 3169 869242
323 2578 576566
518 3003 340343
1970 2687 26078
1674 2088 937899
772 2263 427623
2263 4000 811760
1892 2769 70877
1295 3021 425059
1046 1741 843857
1701 3926 783025
600 2943 325602
3861 3955 466472
204 1924 973158
363 2283 118831
534 2625 767954
509 887 735953
270 3655 130196
3027 3499 943490
72 910 545583
767 1772 905860
144 715 674812
927 2099 62766
571 1131 908689
1729 3765 81051
650 912 607676
866 1159 740914
1171 1780 492921
1278 3367 359947
2540 3209 436019
792 3306 745790
2653 3802 674856
1465 1900 799783
231 2470 977265
198 1272 717029
1109 2675 989678
2326 2703 222836
3496 3618 260967
539 3214 142245
486 2422 357136
857 3214 200441
2218 3000 4242
34 2208 94141
616 1991 452962
1887 3608 21159
561 637 466619
2668 3264 40944
1856 3233 512791
2824 3771 496004
608 1421 450426
1817 2557 437991
816 3350 848208
3023 3945 872241
1366 2438 89208
973 3401 375094
560 1962 360006
629 3532 651621
476 2484 990853
1268 1307 386975
1272 3079 199935
50 1635 865751
985 2041 162918
929 2249 766292
2842 3366 475657
50 2766 300982
3496 3678 442943
3209 3855 923923
36 3828 450406
1303 3034 316065
2009 2927 663143
2296 3328 365130
399 1369 106114
3317 3969 923042
1962 3163 942759
1619 3564 585525
2953 3060 421554
2248 3266 401114
2171 3093 565149
930 2126 942804
487 995 30082
490 2782 277409
1620 3533 639129
86 2849 447098
810 3128 606260
2240 2781 722175
2085 3765 653586
333 1671 276851
2503 2785 276296
3432 3934 126421
778 2738 763259
1172 1620 870393
2582 3591 829925
1711 3677 321125
1161 3156 110287
1395 3773 189419
1511 1949 859503
3181 3535 79835
387 1965 290690
683 2251 426121
1340 3456 351251
2512 3068 729222
1093 1461 408812
3155 3386 528840
316 863 495996
88 3150 769390
569 2036 967253
73 1923 478433
260 2309 736750
2950 3343 791000
1424 3150 616691
675 2217 211202
29 2249 884646
3061 3766 759801
629 3902 316468
250 3778 644555
699 1992 498943
771 1245 16865
1030 3679 991525
332 781 699219
1755 3781 266368
824 2781 488937
27 1029 720965
441 1025 308731
694 826 573359
943 1646 141488
2554 2935 686186
179 1497 66956
209 2714 396338
989 2239 448669
1121 1810 682775
178 1945 933555
1115 2323 962935
2433 3347 663375
525 3164 80069
875 2170 709011
723 2363 352297
550 2571 944476
1284 3858 513036
548 3874 762025
1569 1683 31497
344 2213 905441
2251 3679 144115
1186 2111 599462
562 1274 63986
983 2148 370507
863 1994 647230
1412 2644 942152
1621 3472 755788
508 2521 79661
89 2885 645696
785 2383 720260
176 3035 275938
221 292 550049
106 1134 367674
444 2116 302174
461 2951 495036
2533 3104 148799
686 2575 846771
474 3083 985291
487 1967 529380
701 2535 678164
877 2795 881550
1520 3086 586122
1487 1977 455255
1161 2420 85370
1722 3687 701831
255 3075 173286
1292 3874 927861
2117 2646 511295
289 2955 685613
1490 1669 482314
185 636 839542
1736 3721 901413
1559 3858 267389
2720 3466 517808
836 2758 55881
1833 3019 496135
658 2058 329778
519 1055 796246
166 1344 975201
1779 3012 545042
445 3549 709677
1636 3987 777750
1493 1752 299308
958 1141 158379
2146 3301 173489
1516 3183 323321
2173 3670 305730
1449 3043 934785
2047 3208 712128
987 1248 683491
1431 2290 527039
320 1770 640674
2422 3521 610519
662 2082 891828
314 462 86325
1951 3496 412193
1624 3166 526365
966 3354 389408
2139 3364 28967
612 2619 97953
2111 3253 627736
1502 3924 941505
2529 2697 973377
779 1400 474390
1228 1240 478704
3542 3906 42199
99 1517 693716
870 2464 763033
224 3361 46397
1192 2331 35360
441 3497 274964
2295 3585 991240
823 1442 961936
2222 2820 2714
1210 3801 788305
266 3706 975846
2818 3804 437714
534 2620 930584
3195 3920 938296
738 2669 656626
587 2381 285419
171 1697 868065
937 1965 528887
784 2874 427460
1588 2345 455612
1894 2611 183318
1428 2092 55473
2313 3807 598444
2584 2743 201639
1391 1604 926728
2017 3984 355314
1681 3788 147837
2969 3853 245801
1092 1842 622584
904 3782 785280
517 1675 696242
118 3835 914021
276 3660 132334
2105 3018 663269
96 408 36873
2777 2824 321208
2491 2564 791240
2328 2769 438209
129 3860 740402
1116 3065 184183
345 1632 74209
940 1818 386327
1477 2961 74602
3647 3933 585972
380 2917 342379
142 3204 549507
1702 2046 460071
373 943 491191
853 3504 655402
3906 3917 896517
442 613 670148
1552 2651 675965
513 978 485794
159 3933 698078
1905 3427 514458
284 3568 861661
1622 1792 127706
2215 2916 460430
1758 2771 589282
1160 2676 169550
1678 3117 470162
1768 3826 220066
144 3097 816930
2290 3029 393088
368 933 160867
1569 2826 640786
839 3712 670407
897 2278 557322
35 1327 256092
1194 2609 507120
511 3223 494588
2674 3401 292707
2740 3544 287804
2185 3670 587184
1110 2552 260469
1378 1977 650037
2216 3116 338100
1523 3113 268377
791 3198 964763
3642 3752 49956
262 3114 969531
1703 3287 360931
2378 2410 416474
2047 2566 171010
2103 3509 773561
1837 2572 254938
952 961 509506
2827 3061 664970
2376 3790 698112
905 2017 681863
1131 3213 818477
744 3185 61763
1594 1675 148141
512 2501 894539
1511 2614 210399
1537 3073 740236
2363 2497 157539
221 1909 132717
1543 2050 223092
2954 3656 201109
1871 2518 606591
348 3262 417775
936 2112 443720
2253 3789 488583
1144 1299 139548
723 3544 657084
132 3438 207580
1671 3658 161840
1201 2389 788241
1208 1833 535194
3078 3294 1712
1885 3426 157325
12 1889 846612
141 3733 2400
316 1636 312051
1179 3865 32773
1301 1310 968562
1234 3333 596220
2073 3074 129772
3316 3905 267331
2862 3199 174408
926 1435 185833
1447 2603 879721
1216 1531 404213
2198 3616 170201
19 2414 355379
1145 3715 249041
948 1707 8725
373 2279 250797
40 51 231053
3254 3734 150603
179 2143 616038
328 2782 77836
349 402 463366
316 967 293915
335 3168 676329
1479 2900 784043
293 3185 857342
1018 1464 541714
1866 3815 658106
1600 3220 225359
94 1824 761537
421 2214 456670
402 1174 641018
120 2141 833334
1308 2035 862020
559 2364 243498
851 2759 979034
101 1868 148497
2034 2168 430715
274 1606 576666
1633 3781 277111
1994 3522 717883
545 2747 295057
1915 2866 929197
1252 3601 306856
1621 3616 299767
1119 2726 640617
154 3179 370837
1003 1346 224870
70 1619 466475
1088 3603 246255
2199 3476 696600
20 83 411698
1935 3140 338563
689 1535 320167
3156 3897 134
626 3664 678859
282 1131 730037
2134 3119 695382
341 2555 749352
3169 3643 117306
1776 2193 560782
2627 2729 52801
1766 2427 267087
1343 2806 520622
1510 2703 708129
1644 2718 556754
855 2999 561885
2469 2893 388370
2627 3162 983276
332 2330 406918
457 1638 485463
2772 3185 904089
1612 3926 474207
3013 3306 125012
815 3987 196066
116 2810 470784
1223 3664 106134
2556 3108 472955
1535 3830 796116
1866 3106 574797
2377 3855 55253
2627 3840 966790
281 2552 688401
1916 2488 107706
1903 3853 544872
271 2018 483681
3240 3407 119344
1894 2699 698252
2880 3201 915786
1986 3317 37651
714 2466 213857
905 2071 972483
861 1185 915386
25 1262 793302
229 1320 643204
851 2192 689573
610 2225 489165
1922 2503 603863
174 1703 454743
312 1371 25080
188 2315 238145
172 2258 63049
656 3119 436585
394 732 832961
1696 2404 893541
947 1252 814392
2826 3172 99001
1093 3991 369855
206 1618 99909
1929 3301 85279
243 733 449818
414 2878 216075
1421 2279 383545
2167 2865 124277
214 3826 95032
1466 1720 807978
112 643 779501
985 3465 128945
1542 1672 554562
843 1581 4842
1927 3212 517436
1030 1157 789850
1105 3435 343622
651 2299 577788
1280 2477 802002
196 312 175819
642 659 872461
144 475 413797
1441 2146 887338
4 3726 780532
1198 3289 118459
318 2635 655615
837 1774 455049
459 2424 469700
55 2600 532528
718 954 537075
773 1360 814085
1503 1586 462559
2943 3383 368704
2721 3298 148781
848 3606 888069
2065 3482 552738
318 2032 842511
1128 1433 140935
3485 3727 121341
365 680 846059
1440 1804 639418
3389 3877 797272
2436 3123 448566
2196 3492 664216
625 1801 449063
217 1046 836896
1784 2600 101213
32 296 134692
1583 3869 482419
233 2924 495450
983 2025 349606
753 1901 917346
689 2377 612469
532 2944 838664
1509 3512 892816
927 2554 377032
338 1823 495983
985 3388 188366
2080 2567 440234
851 1842 816819
302 3177 338843
2260 3929 853095
2658 3606 822135
75 1953 131019
1464 3091 928527
2390 3907 135432
212 1291 788121
1274 3599 729105
1641 2030 132023
2227 2881 601865
3046 3534 501041
1793 1889 985321
1398 3337 851978
1472 1825 65930
843 915 807745
1174 1370 10134
803 2816 542697
442 1276 506647
2382 2434 36677
660 2405 131557
622 3706 803090
1946 2015 917234
1634 3337 358631
3458 3667 288807
300 1598 30074
1343 1670 991599
2824 3830 550414
99 2879 718855
1527 2832 201640
1589 2204 406300
2113 2210 182357
577 1203 868654
2437 3913 318288
1420 3579 869745
1528 2580 654044
654 3223 116065
253 3404 391240
2282 2667 267691
1875 3808 474522
2363 3867 176462
475 2167 459024
876 2029 339600
817 1531 803512
2589 3819 735442
1168 1564 201322
1821 3960 8896
26 2425 168299
1443 3266 738580
3309 3669 742740
1832 3536 217454
1702 2646 777929
1670 2930 776309
460 1270 613478
630 1134 648066
929 2193 201585
2251 2504 787757
2881 3147 398181
2499 3798 99623
1807 2730 643644
1470 3638 199179
2284 2925 205232
305 1206 844161
1575 1867 984620
3060 3345 461249
3763 3988 143793
1348 2590 202649
1457 2088 237529
1885 3990 156027
615 3966 225834
2436 3610 437823
1360 2789 968458
21 2917 276763
183 784 702337
128 1155 597748
243 2757 665736
1942 2902 140325
1551 3399 30413
3081 3388 20649
3108 3705 333263
1294 3314 260051
2102 3118 469410
2475 3576 804679
691 3009 9462
163 3380 729941
1129 2919 614183
2173 2865 896477
3542 3723 848227
2307 2803 383966
2263 2957 119671
572 3908 698984
623 3025 837438
2386 2953 223912
3065 3643 218920
527 3023 323434
503 2820 998705
1356 3367 904877
1833 2908 244599
1215 2060 771754
523 2378 126016
1094 2049 565923
1386 2069 529300
454 2824 984604
2736 3518 692246
396 2008 903620
1442 3215 700122
147 570 263840
1024 2754 735100
1165 1976 660666
1730 3543 61188
98 1943 302633
2021 3328 128701
2151 3673 525154
277 1238 813023
876 3597 485418
496 1039 304985
971 1537 885906
1163 2913 124660
263 888 902176
929 2617 569718
2469 2714 796013
1086 1103 247340
759 1804 793843
1035 3311 143080
334 2262 63029
1753 3110 328067
80 3090 485955
996 1242 408867
1656 1857 857754
185 2785 120722
1254 1903 807435
2268 2708 32873
511 1609 293631
173 3452 607017
507 2884 665279
1913 2611 888388
1700 2332 492819
288 2695 742412
703 1507 372268
887 3262 559405
3141 3984 848658
1409 3772 91717
645 3369 384579
2628 3172 768752
1645 2407 573610
320 3276 768220
16 3003 690271
1187 3642 709317
1149 3600 950019
220 762 347257
745 3625 470750
635 868 116510
352 1864 531878
491 932 27049
1684 2488 777807
2115 3294 814478
2131 3866 981481
2137 3317 281122
3268 3806 638622
2178 3488 395383
1435 3112 188480
185 3747 825347
450 695 371563
925 1381 88053
326 3416 614540
2134 3061 132655
612 3278 47137
1766 2445 850805
1572 3920 286073
2542 3749 757912
1535 1926 309375
2072 2406 305473
105 3118 837923
43 3668 807655
74 368 467071
2853 2966 422483
3817 3973 442113
2261 3110 699878
1916 2180 421449
341 722 589549
2253 2999 35084
1756 3980 745155
1454 2212 836272
2232 3377 356666
2305 3032 333386
1270 2455 544238
1243 1291 320054
704 3404 158667
2971 3282 824846
1084 3311 989919
1915 2985 49269
1895 2069 675024
3348 3576 241588
201 3076 87819
867 2459 818123
1266 2253 79744
2556 2844 5338
2311 3250 642042
1917 1944 873364
3116 3379 469027
1387 2364 186941
784 2657 369187
360 2033 804886
912 3621 848313
1778 3792 790772
383 2267 132037
2012 3226 810944
2475 3702 753254
744 2096 175197
3461 3859 14576
488 1245 377291
253 3781 782074
969 2638 6785
2207 2610 887696
2402 2521 781474
668 1293 54208
1682 3031 217433
626 2733 140259
828 2232 465002
640 1429 532860
357 1127 366457
1260 1648 15061
2228 3723 153698
786 2860 540308
2557 3306 262709
383 950 171728
2591 2631 830759
376 3608 277843
635 1839 155022
1638 3620 335662
2850 3976 805140
1659 1976 750399
721 2050 56978
909 2419 529764
3079 3465 533421
1788 3847 342371
1517 2789 121353
628 3164 164961
151 2471 259151
1493 1788 579122
989 1507 623098
2648 3000 317425
1399 3720 411474
2378 2490 428382
494 1569 772199
1915 3708 224397
638 1576 839186
2344 2555 866701
1025 3657 930851
2808 2870 12990
728 1931 162331
1381 3727 745330
1126 3158 777049
2632 3855 443890
700 3366 769810
2966 3565 17518
315 3604 391445
2299 3501 206000
1955 2554 255376
1114 1406 178245
2396 3044 342973
727 776 71051
2409 3933 80176
2916 3810 976382
2282 3701 773081
1511 2198 36399
2512 3381 76002
2364 2827 78652
827 918 176606
203 2323 661719
1070 2801 113115
2126 2149 153890
557 1177 134175
367 1706 949090
67 2440 59723
1929 3874 721921
273 1310 676432
488 627 278796
1666 3279 912065
2220 3885 474387
1372 1604 527808
3071 3849 201956
962 1026 758513
3083 3137 490879
579 1874 359297
303 1747 617225
2019 2224 314886
2645 3008 843725
2156 2275 409742
2159 2221 751962
115 960 597685
769 3185 773534
498 3077 866911
1590 3986 957993
565 821 55866
118 1219 449965
1696 3794 143983
934 2801 762980
1012 1309 869254
2754 3881 155765
1193 3068 284231
754 1961 367767
1037 2288 76617
1199 2979 28602
3544 3799 205518
269 3762 150736
1727 1964 102529
1711 3249 253682
260 1043 399342
2649 3014 935222
2081 2766 368414
2997 3186 226726
1473 3117 712115
3023 3734 99445
688 2566 879595
2328 2559 411863
54 1647 346178
529 2116 997427
2211 3158 242038
1807 1905 973403
924 1479 943484
2246 3921 782669
972 3389 264494
1439 3474 739516
513 1236 198434
832 3071 697113
695 718 169166
1246 3226 307634
1005 3808 359143
1712 3043 709301
447 3190 30225
283 1435 606145
2759 3304 353885
549 3798 317358
1785 3667 557870
2453 2968 797293
14 3566 670010
732 3239 827607
243 718 7414
3638 3862 641477
436 1163 665018
718 3388 962805
373 1885 761563
523 3770 322463
189 1480 228599
2993 3703 359566
996 2558 643580
3358 3641 943170
359 2965 255765
220 2731 823402
208 1382 135837
1122 1226 652906
31 3006 157278
1946 3128 429800
607 762 726340
661 1361 245332
1280 1656 683889
1212 1365 727530
329 382 200240
147 3411 428459
3618 3901 154192
90 1196 891313
1348 1578 762319
2627 3876 153798
637 779 350404
2349 3472 459065
1156 3628 277072
839 1046 990789
928 1573 395117
1520 2071 562880
1972 1979 102849
523 2061 680044
3761 3837 289974
2387 2508 177849
306 3517 182485
2988 3062 565185
496 2479 652813
1541 3904 638003
2693 2820 947575
339 2162 353646
1042 2669 195969
3191 3892 610381
288 3379 766141
2238 2262 336879
463 2895 752396
1957 2948 771735
134 787 640230
690 1299 558122
3302 3382 769293
1896 3230 473983
1228 2937 617003
1197 3180 352546
3468 3578 571924
1720 2081 586514
2544 2599 517408
1843 3347 231364
2328 3435 220151
3626 3665 277192
2140 3280 360574
2861 3433 414469
88 1769 1757
1284 2772 708937
1213 3318 248756
2932 3595 394836
1883 2109 357731
1581 3517 803574
1015 2882 813901
1032 3385 557879
577 3171 673510
1503 2955 108370
324 723 732457
2434 3495 258092
2812 3723 779304
479 2406 578588
514 3667 476470
383 1399 258050
1325 3616 211417
3000 3578 460448
1809 3928 79618
1783 3319 354572
41 2106 759295
498 891 427141
613 2942 677952
1091 2247 632710
835 1110 361575
1657 2860 381957
59 536 441572
113 3476 276923
1922 3924 165203
1592 3542 466985
1633 2467 629442
1762 2482 654333
1255 1424 766945
3207 3670 732388
269 856 461849
1845 2512 796708
154 2570 573243
2079 2398 121707
2321 3354 483628
557 2215 881572
681 3894 391204
1337 2794 777685
22 48 299108
3319 3606 251129
227 3707 212336
1556 2423 142847
2576 2616 849769
211 1006 544518
360 1919 654838
1268 1899 809404
1162 3471 846436
2675 2850 41581
713 2871 821980
173 2189 381938
2248 3655 354164
155 3991 616586
2771 3191 67513
960 3333 148519
1251 1830 169230
668 3150 778497
2425 2972 476010
861 1999 374859
2711 2795 162081
775 3235 88270
2889 3065 434869
1229 2880 631023
2070 2167 506145
1681 3381 633478
1210 2552 134728
2229 3782 526229
1005 2631 173201
2218 2642 499551
1012 1853 250261
2138 3935 789847
557 1203 336736
2783 3778 135967
950 2801 814036
1299 2630 769768
1181 2777 31329
1314 1857 253557
439 3944 278562
1992 2937 952779
790 1543 834142
156 1076 228279
1632 2003 549833
1409 2739 636616
561 2706 621565
1094 1859 88546
987 2862 186078
2191 3196 83391
101 3634 75334
1977 3015 670623
146 3519 211412
2288 3674 892487
1676 2919 318470
767 1105 924230
1721 3472 340790
918 3638 107001
131 536 339987
2322 2614 723534
2005 2774 267519
1691 1788 661495
314 1933 405013
78 572 264686
917 3490 546714
594 3387 71480
2666 3969 491303
760 2655 136572
113 3542 260703
452 2155 411376
511 3987 842149
2554 3506 347936
1002 2867 914220
2367 3297 858791
213 3406 442632
2120 3952 215578
272 1952 814243
1031 1607 409250
1495 2180 572791
1947 2883 7298
2259 2285 279808
408 2142 498361
696 3143 333580
1862 2916 996876
1267 2059 413440
691 3386 901743
269 1689 386015
2865 3295 723397
467 1826 537244
708 1258 651190
908 3318 337826
77 717 831967
1124 3430 311462
391 1010 181323
2238 2449 222589
31 3140 498326
2126 3760 80014
141 2624 975308
3090 3891 837134
700 1135 926193
677 1607 653863
2503 2675 345939
2105 2822 383063
2284 3114 679453
1704 3607 610254
1734 2548 585393
874 3859 853152
352 888 744128
242 549 151217
1728 2035 196268
580 2756 853875
1258 2443 436549
431 735 442653
150 2715 722119
2673 3955 271822
1221 2209 537907
2094 3602 905765
1107 2982 310468
1235 3530 959061
804 1916 388788
1073 2495 799895
938 3300 497504
1672 3849 829935
1821 2855 108649
1326 2127 31321
336 1148 820541
289 3407 974635
1524 1747 89968
2981 3993 141849
137 3054 483764
195 1561 558258
90 860 535547
1060 1595 761570
3530 3914 135742
531 1591 853869
3090 3852 526204
746 2496 254492
20 3381 408239
12 1701 731571
3417 3550 892059
3314 3611 569619
53 1924 134478
1472 1999 55890
1880 3042 260155
2410 2785 985746
1006 2261 20835
3210 3358 903331
2054 2738 55350
438 2645 303713
339 2217 91129
2276 3652 839092
248 1576 347496
3078 3399 597494
2440 2968 935373
1576 3124 986134
870 2581 748394
1705 2142 108104
196 1388 490841
738 3192 535631
803 1408 867969
36 285 487973
635 3377 953900
3225 3712 801298
719 2680 308089
444 2155 93665
2578 3024 44597
1080 3324 687091
2468 3428 275638
2622 3557 734829
360 2605 312589
644 2926 900976
372 2899 69610
799 3596 469321
666 2097 672352
1461 2539 422506
390 556 221881
65 1153 91313
596 3845 934132
234 2466 805688
1422 3416 42399
5 347 735394
981 3598 240117
748 2943 904064
616 2845 841081
969 1735 986541
2290 3827 359282
2061 3442 191347
390 1374 107191
975 3506 114008
390 1546 747429
746 3946 908127
1726 3692 567724
1020 3810 196472
1636 3874 595668
1308 2604 73402
2782 3849 239691
842 3484 655484
2215 2831 524225
2072 2374 605200
734 3618 149589
163 3563 986335
642 3606 16412
719 3415 309432
1191 3641 851067
948 1211 830022
1148 2965 668803
983 3008 621997
165 2844 748211
2538 3070 530635
270 3271 742252
2211 3785 458166
427 546 413771
1145 1311 365538
2687 3095 217530
249 2514 810829
536 3213 648328
1691 2572 89311
1415 3688 841475
252 484 12013
753 2887 747635
1139 2964 279420
3657 3861 548198
1171 1428 121694
617 3318 712732
848 3130 916980
17 3677 840544
6 2060 723115
1669 1747 736529
2350 3144 921365
1588 3509 850117
3078 3497 221432
2734 3269 505293
162 3467 750815
1513 3831 783784
679 2597 938913
707 3577 595282
473 1064 905341
2732 3940 491087
821 2228 649789
1736 2186 879376
656 1232 438454
500 2088 785187
318 3733 849700
2182 2901 997531
778 3037 962561
354 1950 39267
1178 1232 392331
1469 2925 627414
2013 2290 69641
154 827 247377
1482 3530 940960
2336 3922 429812
6 3524 262129
1576 3258 592311
2294 3107 133088
596 1668 317794
1288 2179 503323
1104 1971 412792
1385 3468 299081
3027 3621 116259
2756 3502 681741
68 1838 766014
1361 1880 874371
10 2936 757629
673 2395 232274
